Sample	PC1	PC2	PC3	PC4	studyName	sampleType	tissueType	tissueType_2	tumorStatus_2	deseq2_normalization
38	SRR613795_Thyroid	-0.0276609180086466	-0.0196207926158254	0.0328325863006924	0.00242798047692687	gtex	Thyroid	Thyroid	thyroid	Normal	1.14911696276146
39	SRR615285_Thyroid	-0.0274564941529973	-0.0195751133343768	0.0325543137863953	0.00851321143264759	gtex	Thyroid	Thyroid	thyroid	Normal	1.04350070355855
40	SRR613975_Thyroid	-0.0276523965996182	-0.0199179176654527	0.0336383975281468	0.00152372716839625	gtex	Thyroid	Thyroid	thyroid	Normal	0.762974495332694
41	SRR613711_Thyroid	-0.0275210762090151	-0.0220845596825963	0.0344843296672595	0.00273126637205097	gtex	Thyroid	Thyroid	thyroid	Normal	1.44461089934238
42	SRR614023_Thyroid	-0.0275583246396576	-0.0189408382425339	0.0318842142649862	0.00971072362660849	gtex	Thyroid	Thyroid	thyroid	Normal	0.542394169296242
43	SRR614107_Thyroid	-0.0275282633773177	-0.0212061770761208	0.0245241252173842	0.0117040029342429	gtex	Thyroid	Thyroid	thyroid	Normal	1.11244252471964
44	SRR614275_Thyroid	-0.0275737184135635	-0.0172103980597445	0.025005337872122	0.0127634042072361	gtex	Thyroid	Thyroid	thyroid	Normal	0.605716188944528
45	SRR615347_Thyroid	-0.027547653033465	-0.0210175425596631	0.0348433751240137	0.00443396614578233	gtex	Thyroid	Thyroid	thyroid	Normal	1.0828725936963
46	SRR614743_Thyroid	-0.0276756156919168	-0.0191540435718016	0.0244809187314136	0.00853609114851279	gtex	Thyroid	Thyroid	thyroid	Normal	0.726170227244713
47	SRR615886_Thyroid	-0.0276271294031544	-0.0195155988691025	0.0310563768000626	0.00388214365238968	gtex	Thyroid	Thyroid	thyroid	Normal	0.954074112444865
48	SRR615491_Thyroid	-0.0274958040814075	-0.0168376230586007	0.0171967891457675	0.0102660532435121	gtex	Thyroid	Thyroid	thyroid	Normal	0.391451988509658
49	SRR654754_Thyroid	-0.0275811962028991	-0.0191642273221942	0.0288899076461691	0.00804564055751827	gtex	Thyroid	Thyroid	thyroid	Normal	0.523081165653192
50	SRR655696_Thyroid	-0.0275052290100799	-0.0202430808634475	0.0332599493628073	0.00569886103766398	gtex	Thyroid	Thyroid	thyroid	Normal	2.0395809751178
51	SRR654969_Thyroid	-0.0275384890041291	-0.0190952646802274	0.0326457484381511	-0.0016023879551733	gtex	Thyroid	Thyroid	thyroid	Normal	2.28095384075601
52	SRR655076_Thyroid	-0.0274016956064401	-0.0177244489130599	0.030569940389555	0.00638278944486245	gtex	Thyroid	Thyroid	thyroid	Normal	0.281061549582366
53	SRR658009_Thyroid	-0.0276573129949792	-0.0196407016554112	0.0301058461881945	0.00595988443315514	gtex	Thyroid	Thyroid	thyroid	Normal	0.995044178180178
54	SRR655780_Thyroid	-0.0275490030209611	-0.020928497572441	0.032595852206466	0.00534670819100924	gtex	Thyroid	Thyroid	thyroid	Normal	0.877795597139108
55	SRR655495_Thyroid	-0.0275748689968104	-0.0188700911352317	0.0273318715877026	0.00672075890532083	gtex	Thyroid	Thyroid	thyroid	Normal	2.06805118803167
56	SRR656035_Thyroid	-0.0276425855910607	-0.017539050647079	0.0337766555513018	0.00524963154331014	gtex	Thyroid	Thyroid	thyroid	Normal	2.8729791506743
