Sample	PC1	PC2	PC3	PC4	studyName	sampleType	tissueType	tissueType_2	tumorStatus_2	deseq2_normalization
36	SRR613018_Thyroid	-0.0272729170245283	-0.0128126732369101	-0.0274269535221871	-0.021690199354534	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.122779498658644
37	SRR613258_Thyroid	-0.0272286158134789	-0.0131317964056133	-0.0307605675158428	-0.0266202526089698	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.953771273914099
38	SRR613795_Thyroid	-0.0272492467875334	-0.0138012487311563	-0.0266308318319649	-0.0199356265511724	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.14911696276146
39	SRR615285_Thyroid	-0.0272074408723469	-0.0136155241074114	-0.0264315586399957	-0.020333073152118	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.04350070355855
40	SRR613975_Thyroid	-0.0272617695354894	-0.0134923937235857	-0.0279513704370956	-0.0215977827411015	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.762974495332694
41	SRR613711_Thyroid	-0.0272488161435463	-0.014276211326822	-0.0277489202538178	-0.0218892459687188	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.44461089934238
42	SRR614023_Thyroid	-0.0272292899028196	-0.0151236443486105	-0.0297539736821692	-0.0214491994391779	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.542394169296242
43	SRR614107_Thyroid	-0.0271218082369673	-0.0162695466812376	-0.0281035493063699	-0.0193673428600278	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.11244252471964
44	SRR614275_Thyroid	-0.0272420486518611	-0.0129894428232447	-0.027562003061562	-0.0200156321465091	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.605716188944528
45	SRR615347_Thyroid	-0.0272070630149286	-0.0118729708421673	-0.0283139653685532	-0.0250844352064302	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.0828725936963
46	SRR614743_Thyroid	-0.0272377281472925	-0.0146276015641312	-0.0318252463033276	-0.0226024102312207	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.726170227244713
47	SRR615886_Thyroid	-0.0272265551644225	-0.0136977851161378	-0.0276526251745414	-0.0243548041579389	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.954074112444865
48	SRR615491_Thyroid	-0.0272663082140608	-0.0146036159392978	-0.0304213069767792	-0.021684920823582	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.391451988509658
49	SRR654754_Thyroid	-0.0272787676174346	-0.0122703874794917	-0.0275448132714968	-0.0207738480016738	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.523081165653192
50	SRR655696_Thyroid	-0.0271100757739853	-0.0137512464325136	-0.0327704422824541	-0.0264573007428188	GTEx	Thyroid	Thyroid	Thyroid	Normal	2.0395809751178
51	SRR654969_Thyroid	-0.0270792355436859	-0.0143662386988035	-0.0306093127356066	-0.0268851945450294	GTEx	Thyroid	Thyroid	Thyroid	Normal	2.28095384075601
52	SRR655076_Thyroid	-0.0272002104887943	-0.0156770994204455	-0.030133598116621	-0.0230987792426981	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.281061549582366
53	SRR658009_Thyroid	-0.0272393257558384	-0.0129842782674027	-0.0302414444430256	-0.0203498666866956	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.995044178180178
54	SRR655780_Thyroid	-0.0271376583645695	-0.0147233051420887	-0.0333752467951288	-0.0266083447897503	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.877795597139108
55	SRR655495_Thyroid	-0.0271403457317447	-0.0156207535434432	-0.0329179789943186	-0.0239297373293416	GTEx	Thyroid	Thyroid	Thyroid	Normal	2.06805118803167
56	SRR656035_Thyroid	-0.0272131392078468	-0.0104953090117316	-0.0313193662116187	-0.0226786281749034	GTEx	Thyroid	Thyroid	Thyroid	Normal	2.8729791506743
57	SRR657821_Thyroid	-0.0269869193736618	-0.012814829744123	-0.0286821149062419	-0.0265544880577859	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.42097015842516
58	SRR657809_Prostate	-0.0271337908017067	-0.0128911839217019	0.00957429677524381	0.0057488824987763	GTEx	Prostate	Prostate	Prostate	Normal	0.634862058661945
59	SRR655277_Thyroid	-0.0271917405002632	-0.0166193760095796	-0.0279233379018677	-0.0209809304449341	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.41005182273565
60	SRR656191_Thyroid	-0.0272665701519785	-0.0146057977111164	-0.0261363961309154	-0.0214878592638627	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.02566321547078
61	SRR658021_Thyroid	-0.0271885317995105	-0.014921602239547	-0.0316681028817225	-0.0203115557065728	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.26484339963127
62	SRR658117_Thyroid	-0.0272541952803711	-0.0138833090792667	-0.0300436063302147	-0.0235633683504674	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.53557514311068
63	SRR656469_Thyroid	-0.0271565542909419	-0.0164340583182835	-0.03264184512167	-0.023212016186758	GTEx	Thyroid	Thyroid	Thyroid	Normal	2.00849250054727
64	SRR656528_Thyroid	-0.0270824388931007	-0.0122843219183865	-0.0325985180771323	-0.0204000379876418	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.20392713282473
65	SRR656373_Thyroid	-0.0271572898661739	-0.0142892683229383	-0.0312882607490926	-0.0287359679097034	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.0598360529851
66	SRR657101_Thyroid	-0.0271899354338914	-0.0139392786488818	-0.0312296972066789	-0.0257049467514071	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.450423188458435
