Sample	PC1	PC2	PC3	PC4	studyName	sampleType	tissueType	tissueType_2	tumorStatus_2	deseq2_normalization
37	SRR613258_Thyroid	0.041129295995756	-0.0190114019424327	0.00475273665974105	0.0307017374420792	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.953771273914099
38	SRR613795_Thyroid	0.0398790011104543	-0.0172525126173051	0.00841056329582745	0.0264311184674543	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.14911696276146
39	SRR615285_Thyroid	0.0371400098468791	-0.0165231514332339	0.0136112645066181	0.0145374032054946	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.04350070355855
40	SRR613975_Thyroid	0.0400198737708729	-0.0118060531713769	0.00508356443944711	0.029850981913798	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.762974495332694
41	SRR613711_Thyroid	0.0390202206542425	-0.0137272389230055	0.0133589053350463	0.0247535991472173	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.44461089934238
42	SRR614023_Thyroid	0.0400650664800381	-0.0173956411846492	0.0156768082303388	0.0142676935290176	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.542394169296242
43	SRR614107_Thyroid	0.0330238602125783	-0.0210187488247314	0.0112047600716867	0.0154534199613717	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.11244252471964
44	SRR614275_Thyroid	0.0336258620360058	-0.0106879875935766	0.0169520302061727	0.00566615956757532	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.605716188944528
45	SRR615347_Thyroid	0.0391434642180498	-0.0240614998943239	0.00887289496141699	0.0230669035390773	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.0828725936963
46	SRR614743_Thyroid	0.03452922297927	-0.0126248124597405	0.0115688191862823	0.0250435562070417	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.726170227244713
47	SRR615886_Thyroid	0.0365038522405483	-0.0248287919188884	0.0150049003934508	0.0199542328800751	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.954074112444865
48	SRR615491_Thyroid	0.0249788595058328	4.52266821706938e-05	0.0227562384186796	0.0122358949657151	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.391451988509658
49	SRR654754_Thyroid	0.0348026405185165	-0.0184443776708496	0.0120035681987089	0.0110773676022715	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.523081165653192
50	SRR655696_Thyroid	0.036116983743461	-0.0244333869752154	0.0142836560148864	0.0122178794097269	GTEx	Thyroid	Thyroid	Thyroid	Normal	2.0395809751178
